"assettreat","asset_comp","isrstock","palstock","tradestock6all","age","married","faminc","religion","female","BA_or_higher","right_2013","right_2015","left_2013","left_2015","p_index_2013","p_index_2015","p_index_2016","e_index_2013","e_index_2015"
1,1,1,0,0,67,1,16000,"jewish",1,0,0,0,0,0,-4.18469250202179,-7.93469667434692,0.196547657251358,-0.882377997040749,-1.54034733772278
0,0,0,0,1,70,1,3000,"jewish",0,1,0,0,0,0,7.56905376911163,-0.90158186852932,-4.99721884727478,-3.66450518369675,7.38951861858368
1,1,1,0,1,66,1,3000,"jewish",0,0,0,0,0,1,17.6724529266357,18.0317425727844,16.6157484054565,-5.57187259197235,-1.15911945700645
0,0,0,0,0,35,0,8000,"jewish",1,1,0,0,0,0,3.48449945449829,-0.896040201187134,2.42686524987221,10.1857340335846,6.29688501358032
0,0,0,0,1,60,1,12000,"jewish",0,0,0,0,0,1,12.730450630188,15.6904220581055,6.88666224479675,-5.76007306575775,-2.87625759840012
1,1,1,0,1,63,1,12000,"jewish",0,0,0,0,0,1,17.6724529266357,15.510950088501,11.6912543773651,-3.85108292102814,1.873559653759
1,1,0,0,0,32,0,12000,"jewish",1,0,0,0,0,0,3.18306356668472,3.78660082817078,0.00196043401956558,5.17743468284607,NA
1,1,0,1,1,35,1,16000,"jewish",0,0,1,1,0,0,-1.75893858075142,-3.4168329834938,-4.99721884727478,-0.164053067564964,-0.225309561938047
1,1,0,1,1,51,1,12000,"jewish",1,0,0,0,0,0,5.46816527843475,3.44540268182755,2.15759307146072,-0.763753652572632,1.17786794900894
0,0,0,0,0,46,0,16000,"jewish",1,1,0,0,0,0,3.20649325847626,6.31044447422028,2.2322778403759,-3.99769395589828,-4.50575917959213
1,1,0,1,0,36,1,12000,"jewish",0,1,0,0,1,0,5.52677631378174,3.78660082817078,7.15677261352539,-3.18180680274963,3.19744229316711
1,1,0,0,0,37,1,12000,"jewish",1,1,0,1,0,0,0.584774389863014,-3.24900448322296,-7.22669839859009,3.29643219709396,1.873559653759
1,1,0,0,0,39,1,16000,"jewish",1,1,0,0,0,0,-10.899418592453,-3.08117628097534,NA,-0.870397537946701,NA
1,1,1,0,1,61,1,0,"jewish",1,1,0,0,0,0,5.82821249961853,-5.59032499790192,NA,1.46241813898087,-1.62798404693604
1,1,1,0,1,42,1,12000,"jewish",0,0,0,0,0,1,3.20649325847626,3.78965198993683,2.2322778403759,2.4541799724102,-13.5068118572235
1,1,1,0,0,24,0,3000,"no religion",1,0,0,0,1,0,3.20649325847626,1.44528046250343,NA,2.97394663095474,NA
1,1,1,0,0,51,1,16000,"jewish",0,0,0,0,0,0,12.8124916553497,13.169629573822,4.73186761140823,3.22847843170166,8.63779246807098
0,0,0,0,1,61,1,8000,"jewish",0,0,0,0,0,0,8.14849555492401,18.0317425727844,7.15677261352539,-6.64229154586792,-0.781811028718948
1,1,1,0,0,39,1,24000,"jewish",0,0,1,1,0,0,-10.899418592453,-10.1081895828247,-11.7611801624298,-16.8961381912231,-9.29754853248596
1,1,1,0,1,43,0,12000,"jewish",0,1,0,0,1,0,-6.42293453216553,-1.07246145606041,-4.87731635570526,-4.85354840755463,-3.03508102893829
1,1,1,0,0,39,0,12000,"jewish",1,0,0,0,0,1,-6.31746411323547,-1.07246145606041,4.80655252933502,4.94018703699112,10.5689930915833
1,0,0,1,0,52,0,3000,"jewish",1,0,0,0,0,0,12.4290144443512,-0.728211849927902,-7.22669839859009,3.36438596248627,-3.09423983097076
1,1,1,0,1,34,1,16000,"jewish",0,1,1,1,0,0,-8.57913553714752,-5.59337615966797,NA,-10.3029572963715,-12.9667603969574
1,1,0,1,1,30,0,8000,"jewish",1,0,0,1,0,0,-10.899418592453,-10.1081895828247,-6.76200032234192,-0.683819651603699,2.95416474342346
1,1,0,1,0,36,1,16000,"jewish",0,1,0,0,0,0,5.14329969882965,6.13097250461578,9.38625156879425,-0.148046463727951,-3.7860119342804
1,1,0,1,1,35,1,24000,"no religion",0,1,0,0,0,0,10.4687786102295,10.6457853317261,NA,-0.0318270083516836,NA
1,1,1,0,0,69,0,3000,"jewish",1,0,0,1,0,0,-1.67689740657806,-3.25205564498901,-9.5317006111145,3.2564651966095,7.00460493564606
1,0,0,1,1,65,1,12000,"jewish",1,0,1,1,0,0,-6.31746411323547,-7.93469667434692,0.317288190126419,5.68281710147858,8.2477194070816
1,1,1,0,0,34,1,3000,"jewish",0,0,0,0,0,0,3.20649325847626,1.44528046250343,NA,-1.38235971331596,4.97742503881454
1,1,0,0,0,38,0,12000,"jewish",0,0,0,0,0,1,-3.6957448720932,-0.725160911679268,-2.30220377445221,-5.19871711730957,-3.73077273368835
1,1,1,0,0,47,1,12000,"jewish",1,1,0,0,0,1,-6.31746411323547,-5.59032499790192,-9.45617735385895,0.265076402574778,1.62760213017464
1,0,0,1,0,31,1,12000,"jewish",1,1,1,1,0,0,-6.25885248184204,-7.7668684720993,NA,-2.35683813691139,5.37068068981171
