"Appendix Table S5. All age, both sex deaths and mortality rates due to COVID-19 from 2020-2023",,,,,,,,,,,,,
Location Name,Sex,Deaths due to COVID-19,,,,,"COVID-19 Mortality Rate per 100,000",,,,,,
         Comoros,Both Sex,"513
(245 - 890)","1,232
(725 - 1,899)","300
(145 - 553)","72
(36 - 122)","2,118
(1,152 - 3,465)","61.7
(29.5 - 107.1)","145.3
(85.5 - 224.0)","34.8
(16.8 - 64.0)","8.2
(4.2 - 13.9)","62.5
(35.1 - 100.3)",,
         Djibouti,Male,"400
(178 - 691)","1,000
(532 - 1,632)","191
(83 - 330)","49
(20 - 85)","1,641
(815 - 2,740)","58.1
(25.9 - 100.3)","141.0
(75.0 - 230.1)","26.2
(11.4 - 45.4)","6.6
(2.8 - 11.5)","58.0
(31.1 - 95.0)",,
         Djibouti,Female,"180
(89 - 310)","494
(243 - 804)","97
(44 - 159)","26
(12 - 45)","799
(389 - 1,320)","30.5
(15.0 - 52.4)","81.1
(40.0 - 132.0)","15.6
(7.1 - 25.5)","4.1
(1.9 - 7.2)","32.8
(16.9 - 52.2)",,
         Djibouti,Both Sex,"581
(275 - 995)","1,494
(796 - 2,368)","289
(126 - 481)","75
(33 - 129)","2,441
(1,231 - 3,975)","45.4
(21.5 - 77.6)","113.3
(60.4 - 179.5)","21.3
(9.3 - 35.5)","5.5
(2.4 - 9.3)","46.4
(24.5 - 75.1)",,
         Eritrea,Male,"1,870
(1,594 - 2,184)","2,158
(1,797 - 2,492)","3,927
(3,107 - 4,716)","673
(512 - 868)","8,630
(7,012 - 10,262)","55.2
(47.1 - 64.5)","62.4
(52.0 - 72.0)","111.2
(88.0 - 133.6)","18.6
(14.2 - 24.1)","61.9
(51.1 - 71.9)",,
         Eritrea,Female,"1,023
(875 - 1,236)","836
(671 - 1,021)","1,482
(1,164 - 1,856)","217
(160 - 278)","3,559
(2,871 - 4,392)","32.0
(27.3 - 38.6)","25.6
(20.5 - 31.2)","44.4
(34.9 - 55.6)","6.4
(4.7 - 8.2)","27.1
(22.0 - 32.2)",,
         Eritrea,Both Sex,"2,893
(2,486 - 3,325)","2,995
(2,580 - 3,443)","5,409
(4,362 - 6,432)","891
(685 - 1,143)","12,189
(10,114 - 14,344)","43.9
(37.7 - 50.5)","44.5
(38.4 - 51.2)","78.8
(63.5 - 93.7)","12.7
(9.8 - 16.3)","45.0
(38.1 - 51.7)",,
         Ethiopia,Male,"49,392
(44,494 - 54,268)","107,991
(96,286 - 120,941)","18,384
(16,340 - 20,835)","4,228
(3,598 - 4,880)","179,997
(160,718 - 200,926)","91.8
(82.7 - 100.8)","197.1
(175.7 - 220.7)","32.9
(29.3 - 37.3)","7.4
(6.3 - 8.6)","82.3
(74.1 - 91.0)",,
         Ethiopia,Female,"16,503
(14,769 - 18,406)","41,560
(37,168 - 46,499)","6,984
(6,211 - 7,866)","1,555
(1,309 - 1,794)","66,603
(59,458 - 74,566)","31.2
(27.9 - 34.8)","77.0
(68.9 - 86.2)","12.7
(11.3 - 14.3)","2.8
(2.3 - 3.2)","30.9
(27.9 - 34.5)",,
         Ethiopia,Both Sex,"65,896
(60,532 - 71,415)","149,552
(136,020 - 163,947)","25,368
(23,035 - 28,445)","5,783
(4,906 - 6,574)","246,600
(224,494 - 270,384)","61.7
(56.7 - 66.9)","137.5
(125.1 - 150.8)","22.9
(20.8 - 25.6)","5.1
(4.3 - 5.8)","56.8
(51.9 - 61.6)",,
         Kenya,Male,"23,109
(20,935 - 25,596)","38,615
(35,042 - 42,738)","4,447
(3,880 - 5,108)","1,174
(989 - 1,391)","67,347
(60,847 - 74,835)","93.2
(84.4 - 103.2)","153.5
(139.3 - 169.9)","17.4
(15.2 - 20.0)","4.5
(3.8 - 5.4)","67.2
(60.9 - 73.9)",,
         Kenya,Female,"11,954
(10,448 - 13,258)","23,168
(20,354 - 25,969)","2,753
(2,376 - 3,219)","622
(513 - 742)","38,498
(33,692 - 43,188)","47.6
(41.6 - 52.8)","90.9
(79.9 - 101.9)","10.6
(9.2 - 12.4)","2.4
(2.0 - 2.8)","37.9
(33.3 - 42.1)",,
         Kenya,Both Sex,"35,064
(32,149 - 38,063)","61,783
(56,425 - 66,994)","7,200
(6,362 - 8,165)","1,797
(1,529 - 2,084)","105,846
(96,468 - 115,307)","70.3
(64.4 - 76.3)","122.0
(111.4 - 132.3)","14.0
(12.4 - 15.9)","3.4
(2.9 - 4.0)","52.4
(48.3 - 56.7)",,
         Madagascar,Male,"10,870
(9,542 - 12,060)","20,149
(18,046 - 22,207)","7,979
(6,908 - 8,980)","2,038
(1,707 - 2,490)","41,037
(36,204 - 45,739)","76.7
(67.3 - 85.1)","138.7
(124.2 - 152.9)","53.6
(46.4 - 60.4)","13.4
(11.2 - 16.3)","70.6
(63.5 - 78.3)",,
         Madagascar,Female,"5,747
(4,866 - 6,495)","9,320
(7,956 - 10,621)","4,617
(3,905 - 5,288)","1,153
(924 - 1,387)","20,839
(17,654 - 23,792)","39.7
(33.6 - 44.8)","62.7
(53.5 - 71.5)","30.3
(25.6 - 34.7)","7.4
(5.9 - 8.9)","35.0
(29.9 - 39.6)",,
         Madagascar,Both Sex,"16,618
(14,751 - 18,195)","29,470
(26,450 - 32,450)","12,596
(11,152 - 14,002)","3,191
(2,677 - 3,783)","61,877
(55,031 - 68,432)","58.0
(51.5 - 63.5)","100.3
(90.0 - 110.4)","41.8
(37.0 - 46.5)","10.3
(8.7 - 12.3)","52.6
(46.9 - 57.8)",,
         Malawi,Male,"6,488
(5,674 - 7,330)","44,652
(39,969 - 49,159)","6,430
(5,480 - 7,320)","2,074
(1,715 - 2,481)","59,645
(52,840 - 66,290)","69.0
(60.3 - 77.9)","463.8
(415.2 - 510.7)","65.3
(55.7 - 74.4)","20.6
(17.0 - 24.6)","154.7
(137.9 - 169.5)",,
         Malawi,Female,"2,876
(2,434 - 3,322)","21,476
(18,678 - 24,037)","2,934
(2,463 - 3,444)","1,123
(898 - 1,346)","28,411
(24,474 - 32,150)","29.0
(24.5 - 33.5)","211.2
(183.7 - 236.4)","28.2
(23.7 - 33.1)","10.5
(8.4 - 12.6)","69.7
(61.2 - 77.8)",,
         Malawi,Both Sex,"9,365
(8,166 - 10,440)","66,129
(60,224 - 71,296)","9,365
(8,100 - 10,521)","3,197
(2,656 - 3,757)","88,057
(79,147 - 96,016)","48.4
(42.2 - 54.0)","334.1
(304.2 - 360.2)","46.3
(40.0 - 52.0)","15.4
(12.8 - 18.1)","111.0
(100.6 - 120.4)",,
         Mozambique,Male,"4,802
(4,197 - 5,460)","25,487
(22,738 - 28,584)","5,104
(4,327 - 5,918)","3,103
(2,481 - 3,770)","38,497
(33,744 - 43,734)","32.5
(28.4 - 37.0)","167.8
(149.7 - 188.2)","32.7
(27.7 - 37.9)","19.4
(15.5 - 23.5)","63.1
(56.0 - 71.1)",,
         Mozambique,Female,"2,698
(2,333 - 3,150)","13,429
(11,696 - 15,852)","3,080
(2,625 - 3,655)","1,892
(1,548 - 2,328)","21,101
(18,202 - 24,986)","16.9
(14.6 - 19.8)","82.0
(71.5 - 96.9)","18.3
(15.6 - 21.7)","11.0
(9.0 - 13.5)","32.1
(27.8 - 38.1)",,
         Mozambique,Both Sex,"7,501
(6,740 - 8,405)","38,917
(35,071 - 42,797)","8,184
(7,138 - 9,408)","4,995
(4,108 - 6,007)","59,599
(53,058 - 66,619)","24.4
(22.0 - 27.4)","123.3
(111.1 - 135.6)","25.2
(22.0 - 29.0)","15.0
(12.3 - 18.0)","47.0
(42.1 - 52.2)",,
         Rwanda,Male,"1,464
(1,214 - 1,718)","6,917
(5,816 - 7,893)","668
(531 - 803)","202
(156 - 259)","9,253
(7,719 - 10,676)","22.9
(19.0 - 26.9)","106.0
(89.1 - 121.0)","10.1
(8.0 - 12.1)","3.0
(2.3 - 3.8)","35.5
(30.1 - 40.4)",,
         Rwanda,Female,"952
(803 - 1,126)","4,135
(3,490 - 4,764)","466
(381 - 565)","140
(110 - 177)","5,694
(4,785 - 6,634)","14.1
(11.9 - 16.7)","60.0
(50.7 - 69.2)","6.6
(5.4 - 8.1)","2.0
(1.5 - 2.5)","20.7
(17.7 - 23.8)",,
         Rwanda,Both Sex,"2,417
(2,073 - 2,776)","11,052
(9,509 - 12,325)","1,135
(942 - 1,332)","342
(271 - 431)","14,948
(12,795 - 16,865)","18.4
(15.8 - 21.1)","82.4
(70.9 - 91.9)","8.3
(6.9 - 9.7)","2.5
(1.9 - 3.1)","27.9
(24.1 - 30.9)",,
         Somalia,Male,"7,295
(6,240 - 8,310)","24,032
(21,684 - 26,839)","2,452
(2,065 - 2,861)","605
(461 - 793)","34,385
(30,451 - 38,803)","72.8
(62.3 - 83.0)","230.9
(208.3 - 257.8)","22.7
(19.1 - 26.5)","5.4
(4.1 - 7.1)","82.9
(74.2 - 92.6)",,
         Somalia,Female,"3,478
(2,761 - 4,276)","13,279
(10,945 - 15,579)","1,567
(1,237 - 1,997)","380
(275 - 517)","18,706
(15,219 - 22,370)","36.4
(28.9 - 44.7)","133.7
(110.2 - 156.8)","15.2
(12.0 - 19.4)","3.6
(2.6 - 4.8)","47.2
(38.7 - 56.2)",,
         Somalia,Both Sex,"10,773
(9,430 - 12,225)","37,312
(33,724 - 41,190)","4,019
(3,423 - 4,716)","986
(758 - 1,278)","53,092
(47,337 - 59,411)","55.0
(48.2 - 62.4)","183.4
(165.8 - 202.5)","19.0
(16.2 - 22.3)","4.5
(3.5 - 5.8)","65.5
(59.0 - 73.1)",,
         South Sudan,Male,"2,888
(2,409 - 3,366)","2,863
(2,409 - 3,319)","884
(710 - 1,056)","186
(130 - 251)","6,822
(5,660 - 7,994)","61.5
(51.3 - 71.7)","59.4
(50.0 - 68.9)","18.1
(14.6 - 21.6)","3.8
(2.6 - 5.1)","35.7
(30.5 - 40.9)",,
         South Sudan,Female,"928
(733 - 1,127)","1,074
(866 - 1,325)","403
(306 - 524)","99
(66 - 143)","2,506
(1,973 - 3,121)","20.0
(15.8 - 24.2)","22.5
(18.2 - 27.8)","8.3
(6.3 - 10.8)","2.0
(1.4 - 2.9)","13.2
(10.6 - 16.0)",,
         South Sudan,Both Sex,"3,816
(3,245 - 4,380)","3,937
(3,399 - 4,504)","1,288
(1,029 - 1,532)","286
(204 - 386)","9,328
(7,878 - 10,804)","40.8
(34.7 - 46.9)","41.1
(35.4 - 47.0)","13.2
(10.6 - 15.8)","2.9
(2.1 - 3.9)","24.5
(21.1 - 27.7)",,
         Uganda,Male,"7,433
(6,140 - 8,714)","34,031
(29,678 - 38,388)","4,148
(3,394 - 4,839)","1,120
(830 - 1,392)","46,734
(40,044 - 53,334)","35.5
(29.3 - 41.6)","158.5
(138.3 - 178.8)","18.9
(15.4 - 22.0)","5.0
(3.7 - 6.2)","54.5
(47.1 - 61.5)",,
         Uganda,Female,"3,831
(3,172 - 4,505)","19,993
(17,006 - 22,564)","2,521
(2,051 - 2,997)","686
(524 - 870)","27,033
(22,754 - 30,938)","17.8
(14.8 - 21.0)","90.8
(77.2 - 102.5)","11.2
(9.1 - 13.3)","3.0
(2.3 - 3.8)","30.7
(26.1 - 34.8)",,
         Uganda,Both Sex,"11,265
(9,366 - 12,976)","54,025
(47,695 - 60,269)","6,669
(5,548 - 7,735)","1,807
(1,370 - 2,231)","73,767
(63,980 - 83,212)","26.5
(22.1 - 30.6)","124.2
(109.7 - 138.6)","15.0
(12.5 - 17.4)","4.0
(3.0 - 4.9)","42.4
(37.0 - 47.3)",,
         United Republic of Tanzania,Male,"18,417
(7,849 - 31,554)","42,020
(21,747 - 66,459)","8,888
(3,633 - 16,380)","2,318
(1,121 - 4,152)","71,644
(34,351 - 118,547)","62.6
(26.7 - 107.3)","138.8
(71.9 - 219.6)","28.6
(11.7 - 52.6)","7.2
(3.5 - 13.0)","59.3
(30.2 - 95.6)",,
         United Republic of Tanzania,Female,"15,046
(6,894 - 26,032)","38,418
(19,830 - 61,213)","8,337
(3,491 - 15,565)","1,894
(919 - 3,419)","63,697
(31,136 - 106,230)","48.9
(22.4 - 84.6)","121.4
(62.6 - 193.4)","25.6
(10.7 - 47.8)","5.7
(2.8 - 10.2)","50.4
(26.3 - 83.6)",,
         United Republic of Tanzania,Both Sex,"33,464
(14,386 - 56,644)","80,438
(44,345 - 126,179)","17,225
(7,546 - 32,370)","4,213
(1,976 - 7,465)","135,341
(68,254 - 222,660)","55.6
(23.9 - 94.1)","129.9
(71.6 - 203.8)","27.1
(11.9 - 50.9)","6.4
(3.0 - 11.4)","54.7
(28.9 - 87.7)",,
         Zambia,Male,"7,352
(6,272 - 8,213)","23,795
(20,941 - 26,486)","2,431
(2,087 - 2,779)","584
(471 - 726)","34,163
(29,771 - 38,206)","78.6
(67.1 - 87.9)","246.5
(216.9 - 274.4)","24.4
(21.0 - 27.9)","5.7
(4.6 - 7.1)","88.8
(78.1 - 98.6)",,
         Zambia,Female,"4,122
(3,620 - 4,669)","13,662
(11,781 - 15,395)","1,722
(1,484 - 1,956)","389
(307 - 479)","19,898
(17,193 - 22,502)","42.4
(37.2 - 48.0)","136.1
(117.3 - 153.3)","16.6
(14.3 - 18.9)","3.7
(2.9 - 4.5)","49.7
(43.4 - 55.8)",,
         Zambia,Both Sex,"11,475
(10,157 - 12,496)","37,457
(34,434 - 40,763)","4,154
(3,698 - 4,648)","974
(801 - 1,153)","54,061
(49,091 - 59,062)","60.2
(53.2 - 65.5)","190.2
(174.8 - 207.0)","20.4
(18.2 - 22.9)","4.6
(3.8 - 5.5)","68.9
(62.9 - 75.0)",,
      Southern Sub-Saharan Africa,Male,"65,000
(60,318 - 69,726)","156,756
(146,927 - 166,429)","27,446
(25,260 - 29,670)","4,186
(3,821 - 4,579)","253,389
(236,327 - 270,406)","158.5
(147.1 - 170.0)","376.3
(352.7 - 399.6)","64.9
(59.7 - 70.2)","9.7
(8.9 - 10.7)","152.4
(142.3 - 162.6)",,
      Southern Sub-Saharan Africa,Female,"71,627
(65,675 - 78,267)","156,585
(144,667 - 167,859)","34,656
(31,280 - 38,551)","4,763
(4,188 - 5,346)","267,632
(245,812 - 290,024)","164.9
(151.2 - 180.2)","354.8
(327.8 - 380.4)","77.3
(69.8 - 86.0)","10.5
(9.2 - 11.7)","151.9
(140.0 - 164.0)",,
      Southern Sub-Saharan Africa,Both Sex,"136,628
(127,279 - 146,548)","313,341
(294,833 - 330,612)","62,103
(57,572 - 67,133)","8,949
(8,110 - 9,789)","521,022
(487,796 - 554,084)","161.8
(150.7 - 173.5)","365.3
(343.7 - 385.4)","71.3
(66.1 - 77.1)","10.1
(9.2 - 11.1)","152.1
(142.9 - 161.5)",,
         Botswana,Male,"378
(319 - 451)","2,121
(1,863 - 2,424)","380
(326 - 451)","120
(101 - 146)","3,001
(2,611 - 3,474)","32.8
(27.7 - 39.1)","181.6
(159.5 - 207.6)","32.3
(27.7 - 38.2)","10.0
(8.5 - 12.2)","64.2
(56.4 - 73.9)",,
         Botswana,Female,"385
(321 - 451)","2,365
(2,038 - 2,652)","456
(379 - 533)","127
(102 - 152)","3,335
(2,842 - 3,789)","32.0
(26.7 - 37.4)","193.8
(167.0 - 217.3)","36.9
(30.8 - 43.2)","10.2
(8.2 - 12.2)","68.2
(58.9 - 77.4)",,
         Botswana,Both Sex,"764
(663 - 870)","4,487
(3,945 - 4,989)","837
(725 - 952)","247
(208 - 291)","6,336
(5,542 - 7,104)","32.4
(28.1 - 36.9)","187.8
(165.2 - 208.9)","34.6
(30.0 - 39.4)","10.1
(8.5 - 11.9)","66.3
(58.1 - 73.9)",,
         Eswatini,Male,"787
(649 - 928)","1,438
(1,194 - 1,676)","332
(272 - 391)","76
(61 - 91)","2,634
(2,178 - 3,089)","137.8
(113.7 - 162.6)","249.6
(207.4 - 291.1)","57.2
(46.8 - 67.4)","13.0
(10.6 - 15.6)","114.4
(96.5 - 133.2)",,
         Eswatini,Female,"1,170
(991 - 1,350)","1,930
(1,691 - 2,225)","531
(454 - 623)","132
(107 - 160)","3,765
(3,245 - 4,360)","197.1
(167.0 - 227.5)","324.4
(284.2 - 374.0)","89.1
(76.2 - 104.5)","22.1
(18.0 - 26.8)","158.2
(137.3 - 181.6)",,
         Eswatini,Both Sex,"1,957
(1,713 - 2,226)","3,368
(2,955 - 3,838)","863
(749 - 1,000)","209
(173 - 244)","6,399
(5,592 - 7,310)","168.0
(147.1 - 191.1)","287.6
(252.3 - 327.8)","73.3
(63.6 - 85.0)","17.6
(14.6 - 20.6)","136.6
(119.7 - 155.7)",,
         Lesotho,Male,"577
(475 - 679)","1,781
(1,481 - 2,079)","274
(222 - 331)","86
(71 - 104)","2,720
(2,251 - 3,194)","62.7
(51.6 - 73.8)","192.6
(160.2 - 224.8)","29.5
(24.0 - 35.7)","9.3
(7.7 - 11.1)","73.5
(61.3 - 85.7)",,
         Lesotho,Female,"880
(719 - 1,070)","2,655
(2,248 - 3,104)","407
(329 - 498)","128
(98 - 156)","4,072
(3,395 - 4,830)","89.8
(73.4 - 109.2)","270.6
(229.1 - 316.4)","41.5
(33.5 - 50.8)","13.0
(10.0 - 15.9)","103.7
(87.0 - 121.6)",,
         Lesotho,Both Sex,"1,458
(1,271 - 1,670)","4,437
(3,948 - 4,971)","681
(577 - 801)","215
(175 - 254)","6,792
(5,972 - 7,698)","76.7
(66.9 - 87.8)","232.8
(207.1 - 260.8)","35.7
(30.2 - 41.9)","11.2
(9.2 - 13.3)","89.1
(78.5 - 99.3)",,
         Namibia,Male,"1,489
(1,311 - 1,667)","7,231
(6,648 - 7,800)","1,143
(1,010 - 1,272)","193
(168 - 221)","10,058
(9,139 - 10,961)","110.0
(96.9 - 123.1)","519.5
(477.6 - 560.4)","80.0
(70.6 - 88.9)","13.2
(11.4 - 15.1)","180.7
(164.3 - 196.1)",,
         Namibia,Female,"1,053
(927 - 1,197)","4,670
(4,268 - 5,035)","856
(753 - 971)","144
(124 - 169)","6,725
(6,073 - 7,373)","73.9
(65.1 - 84.0)","319.5
(292.0 - 344.5)","57.2
(50.2 - 64.8)","9.4
(8.1 - 11.0)","115.0
(104.1 - 125.6)",,
         Namibia,Both Sex,"2,542
(2,296 - 2,786)","11,902
(11,167 - 12,613)","2,000
(1,820 - 2,203)","338
(299 - 378)","16,784
(15,583 - 17,981)","91.5
(82.6 - 100.3)","417.1
(391.3 - 442.0)","68.3
(62.1 - 75.2)","11.2
(9.9 - 12.6)","147.0
(136.9 - 157.5)",,
         South Africa,Male,"54,952
(50,943 - 59,052)","119,495
(110,923 - 127,261)","21,823
(19,806 - 23,588)","2,777
(2,514 - 3,062)","199,049
(184,187 - 212,965)","185.4
(171.9 - 199.3)","396.7
(368.2 - 422.5)","71.3
(64.7 - 77.1)","8.9
(8.1 - 9.8)","165.6
(153.6 - 177.0)",,
         South Africa,Female,"62,814
(57,374 - 68,456)","127,046
(117,906 - 136,645)","29,317
(26,171 - 32,768)","3,517
(3,083 - 4,050)","222,695
(204,536 - 241,920)","200.9
(183.5 - 218.9)","399.3
(370.6 - 429.5)","90.6
(80.9 - 101.3)","10.7
(9.4 - 12.3)","175.4
(161.0 - 190.9)",,
         South Africa,Both Sex,"117,766
(109,825 - 126,862)","246,542
(232,467 - 261,483)","51,141
(47,306 - 55,461)","6,294
(5,681 - 7,020)","421,745
(395,281 - 450,827)","193.4
(180.3 - 208.3)","398.1
(375.3 - 422.2)","81.2
(75.1 - 88.1)","9.8
(8.9 - 11.0)","170.6
(160.4 - 182.5)",,
         Zimbabwe,Male,"6,814
(5,822 - 7,906)","24,686
(21,961 - 27,851)","3,492
(3,019 - 4,114)","932
(791 - 1,099)","35,925
(31,593 - 40,972)","92.3
(78.9 - 107.1)","330.5
(294.0 - 372.9)","46.2
(39.9 - 54.4)","12.2
(10.3 - 14.4)","120.3
(106.6 - 136.3)",,
         Zimbabwe,Female,"5,323
(4,517 - 6,188)","17,916
(15,614 - 20,361)","3,086
(2,651 - 3,635)","712
(588 - 853)","27,039
(23,372 - 31,038)","66.9
(56.8 - 77.7)","222.3
(193.8 - 252.7)","37.8
(32.5 - 44.6)","8.6
(7.1 - 10.3)","83.9
(72.8 - 95.7)",,
         Zimbabwe,Both Sex,"12,137
(10,713 - 13,816)","42,603
(38,106 - 47,022)","6,578
(5,804 - 7,528)","1,644
(1,408 - 1,886)","62,964
(56,032 - 70,254)","79.1
(69.8 - 90.1)","274.4
(245.4 - 302.8)","41.9
(36.9 - 47.9)","10.3
(8.8 - 11.8)","101.4
(89.9 - 112.7)",,
      Western Sub-Saharan Africa,Male,"129,164
(116,031 - 143,377)","170,869
(154,316 - 188,103)","36,194
(31,826 - 40,369)","7,652
(6,625 - 8,866)","343,881
(308,799 - 380,715)","55.2
(49.6 - 61.2)","71.0
(64.1 - 78.1)","14.6
(12.9 - 16.3)","3.0
(2.6 - 3.5)","35.9
(32.3 - 39.7)",,
      Western Sub-Saharan Africa,Female,"68,517
(61,021 - 76,406)","99,060
(88,542 - 108,984)","23,587
(20,746 - 26,579)","4,542
(3,963 - 5,246)","195,708
(174,274 - 217,216)","28.1
(25.0 - 31.3)","39.5
(35.3 - 43.4)","9.1
(8.0 - 10.3)","1.7
(1.5 - 2.0)","19.6
(17.6 - 21.8)",,
      Western Sub-Saharan Africa,Both Sex,"197,682
(180,576 - 217,443)","269,930
(248,545 - 294,587)","59,781
(53,528 - 65,715)","12,194
(10,632 - 14,019)","539,589
(493,283 - 591,765)","41.4
(37.8 - 45.5)","54.9
(50.6 - 59.9)","11.8
(10.6 - 13.0)","2.3
(2.0 - 2.7)","27.6
(25.2 - 30.3)",,
         Benin,Male,"1,005
(783 - 1,300)","1,426
(1,134 - 1,728)","296
(218 - 393)","83
(53 - 122)","2,812
(2,190 - 3,544)","15.7
(12.2 - 20.3)","21.6
(17.2 - 26.2)","4.4
(3.2 - 5.8)","1.2
(0.8 - 1.7)","10.7
(8.6 - 13.3)",,
         Benin,Female,"568
(429 - 741)","929
(699 - 1,181)","198
(138 - 265)","55
(37 - 84)","1,752
(1,304 - 2,272)","8.6
(6.5 - 11.2)","13.7
(10.3 - 17.4)","2.8
(2.0 - 3.8)","0.8
(0.5 - 1.2)","6.5
(4.9 - 8.3)",,
         Benin,Both Sex,"1,574
(1,244 - 1,998)","2,355
(1,911 - 2,908)","494
(367 - 655)","139
(91 - 208)","4,564
(3,613 - 5,771)","12.1
(9.6 - 15.4)","17.6
(14.2 - 21.7)","3.6
(2.7 - 4.7)","1.0
(0.6 - 1.5)","8.6
(7.0 - 10.5)",,
         Burkina Faso,Male,"6,792
(5,916 - 7,633)","9,624
(8,478 - 10,947)","3,327
(2,691 - 4,017)","594
(431 - 780)","20,339
(17,517 - 23,379)","62.9
(54.8 - 70.7)","86.7
(76.4 - 98.7)","29.2
(23.6 - 35.2)","5.1
(3.7 - 6.6)","46.0
(41.1 - 51.8)",,
         Burkina Faso,Female,"2,563
(2,158 - 3,008)","3,510
(2,928 - 4,050)","1,405
(1,057 - 1,762)","284
(202 - 384)","7,763
(6,347 - 9,206)","22.3
(18.8 - 26.2)","29.7
(24.7 - 34.2)","11.5
(8.7 - 14.5)","2.3
(1.6 - 3.1)","16.4
(13.8 - 19.2)",,
         Burkina Faso,Both Sex,"9,356
(8,262 - 10,541)","13,135
(11,676 - 14,914)","4,733
(3,824 - 5,719)","878
(653 - 1,125)","28,103
(24,416 - 32,301)","42.0
(37.1 - 47.3)","57.3
(50.9 - 65.0)","20.1
(16.2 - 24.2)","3.6
(2.7 - 4.6)","30.7
(27.5 - 34.2)",,
         Cabo Verde,Male,"433
(343 - 524)","612
(508 - 722)","164
(119 - 208)","25
(16 - 36)","1,236
(987 - 1,491)","171.2
(135.7 - 207.1)","243.4
(202.1 - 286.9)","65.8
(47.6 - 83.3)","10.1
(6.5 - 14.6)","122.6
(100.8 - 144.8)",,
         Cabo Verde,Female,"305
(241 - 376)","496
(398 - 581)","143
(103 - 187)","21
(13 - 32)","967
(757 - 1,179)","121.9
(96.3 - 150.3)","199.3
(160.1 - 233.7)","58.2
(41.7 - 75.9)","8.8
(5.6 - 13.3)","97.1
(78.2 - 115.3)",,
         Cabo Verde,Both Sex,"739
(612 - 883)","1,108
(926 - 1,279)","308
(229 - 383)","46
(30 - 66)","2,203
(1,798 - 2,613)","146.6
(121.5 - 175.3)","221.5
(184.9 - 255.5)","62.0
(46.1 - 77.2)","9.5
(6.2 - 13.4)","109.9
(90.9 - 128.0)",,
         Cameroon,Male,"9,929
(8,475 - 11,532)","24,137
(21,310 - 27,228)","3,524
(2,956 - 4,152)","736
(574 - 963)","38,327
(33,316 - 43,876)","64.0
(54.6 - 74.3)","150.9
(133.3 - 170.3)","21.4
(18.0 - 25.2)","4.3
(3.4 - 5.7)","60.2
(52.6 - 68.0)",,
         Cameroon,Female,"6,371
(5,497 - 7,516)","17,380
(14,827 - 20,042)","2,683
(2,221 - 3,280)","490
(384 - 624)","26,926
(22,931 - 31,462)","41.0
(35.4 - 48.4)","108.7
(92.7 - 125.3)","16.3
(13.5 - 19.9)","2.9
(2.3 - 3.7)","42.2
(36.1 - 48.5)",,
         Cameroon,Both Sex,"16,301
(14,229 - 18,522)","41,517
(36,267 - 45,815)","6,207
(5,328 - 7,298)","1,227
(979 - 1,593)","65,254
(56,805 - 73,230)","52.5
(45.8 - 59.7)","129.8
(113.4 - 143.3)","18.9
(16.2 - 22.2)","3.6
(2.9 - 4.7)","51.2
(44.9 - 57.1)",,
         Chad,Male,"6,921
(5,974 - 8,030)","1,369
(1,131 - 1,630)","1,736
(1,431 - 2,158)","286
(211 - 378)","10,314
(8,748 - 12,198)","81.0
(69.9 - 93.9)","15.4
(12.7 - 18.4)","18.8
(15.5 - 23.4)","3.0
(2.2 - 3.9)","29.5
(25.2 - 34.5)",,
         Chad,Female,"2,876
(2,395 - 3,472)","527
(425 - 648)","987
(770 - 1,238)","167
(120 - 239)","4,559
(3,712 - 5,598)","33.2
(27.7 - 40.1)","5.9
(4.7 - 7.2)","10.6
(8.3 - 13.3)","1.7
(1.2 - 2.5)","12.8
(10.8 - 15.3)",,
         Chad,Both Sex,"9,798
(8,564 - 11,264)","1,897
(1,584 - 2,241)","2,723
(2,207 - 3,389)","454
(339 - 603)","14,874
(12,696 - 17,497)","56.9
(49.8 - 65.5)","10.6
(8.9 - 12.5)","14.7
(11.9 - 18.3)","2.4
(1.8 - 3.1)","21.1
(18.5 - 24.3)",,
         Côte d'Ivoire,Male,"5,443
(4,804 - 6,215)","8,600
(7,641 - 9,539)","2,195
(1,834 - 2,597)","442
(334 - 561)","16,682
(14,614 - 18,913)","34.8
(30.7 - 39.7)","52.7
(46.8 - 58.5)","12.9
(10.8 - 15.3)","2.5
(1.9 - 3.2)","25.7
(23.1 - 28.6)",,
         Côte d'Ivoire,Female,"2,374
(2,015 - 2,741)","4,093
(3,519 - 4,693)","1,136
(928 - 1,343)","202
(154 - 256)","7,807
(6,617 - 9,034)","16.5
(14.0 - 19.0)","27.4
(23.5 - 31.4)","7.3
(6.0 - 8.6)","1.3
(1.0 - 1.6)","13.1
(11.4 - 15.0)",,
         Côte d'Ivoire,Both Sex,"7,817
(6,907 - 8,893)","12,694
(11,367 - 14,046)","3,332
(2,850 - 3,841)","645
(494 - 809)","24,490
(21,620 - 27,591)","26.0
(23.0 - 29.6)","40.6
(36.3 - 44.9)","10.2
(8.8 - 11.8)","1.9
(1.5 - 2.4)","19.7
(17.8 - 21.8)",,
         Ghana,Male,"6,143
(5,292 - 7,011)","14,705
(12,963 - 16,617)","2,749
(2,353 - 3,236)","332
(259 - 420)","23,931
(20,869 - 27,286)","39.4
(34.0 - 45.0)","92.6
(81.6 - 104.6)","17.0
(14.5 - 20.0)","2.0
(1.6 - 2.6)","37.8
(33.4 - 42.5)",,
