"Appendix Table S3. Top causes containing misclassified COVID-19 (reported) by location, 2020-2022",,,,
Location Name,Cause Name,Amount of miscoded Covid deaths,Percent of total miscoded Covid deaths,Percent of total Covid (miscoded and reported)
Lebanon,Urinary diseases and male infertility,226,3.3%,1.4%
Lebanon,Parkinson's disease,139,2.1%,0.9%
Lithuania,Stroke,604,22.0%,4.1%
Lithuania,Ischemic heart disease,578,21.0%,3.9%
Lithuania,Hypertensive heart disease,555,20.2%,3.8%
Lithuania,Cirrhosis and other chronic liver diseases,437,15.9%,3.0%
Lithuania,All Remaining Causes,245,8.9%,1.7%
Lithuania,Atrial fibrillation and flutter,71,2.6%,0.5%
Lithuania,Diarrheal diseases,67,2.4%,0.5%
Lithuania,Leukemia,66,2.4%,0.4%
Lithuania,Uterine cancer,48,1.8%,0.3%
Lithuania,Other digestive diseases (internal),43,1.6%,0.3%
Lithuania,Ovarian cancer,36,1.3%,0.2%
Luxembourg,All Remaining Causes,37,28.4%,2.9%
Luxembourg,Prostate cancer,29,22.1%,2.2%
Luxembourg,Pancreatic cancer,15,11.6%,1.2%
Luxembourg,Urinary diseases and male infertility,11,8.1%,0.8%
Luxembourg,Other digestive diseases (internal),8,5.9%,0.6%
Luxembourg,Multiple myeloma,7,5.4%,0.5%
Luxembourg,Other unspecified infectious diseases,6,4.4%,0.5%
Luxembourg,Breast cancer,6,4.4%,0.4%
Luxembourg,Stroke,5,3.6%,0.4%
Luxembourg,Protein-energy malnutrition,4,3.1%,0.3%
Luxembourg,Malignant neoplasm of bone and articular cartilage,4,2.9%,0.3%
Malaysia,Endocarditis,15,100.0%,3.5%
Malta,Alzheimer's disease and other dementias,16,25.4%,6.2%
Malta,Gallbladder and biliary diseases,12,19.8%,4.8%
Malta,Pancreatic cancer,10,16.8%,4.1%
Malta,Decubitus ulcer,9,14.1%,3.4%
Malta,Ischemic heart disease,6,9.6%,2.3%
Malta,Other cardiovascular and circulatory diseases,5,8.2%,2.0%
Malta,Thyroid cancer,3,4.3%,1.1%
Malta,Non-melanoma skin cancer,1,1.9%,0.5%
Mauritius,Diabetes mellitus,1231,61.8%,40.2%
Mauritius,Ischemic heart disease,413,20.7%,13.5%
Mauritius,Urinary diseases and male infertility,65,3.3%,2.1%
Mauritius,All Remaining Causes,65,3.3%,2.1%
Mauritius,Alzheimer's disease and other dementias,64,3.2%,2.1%
Mauritius,Stroke,52,2.6%,1.7%
Mauritius,Atrial fibrillation and flutter,45,2.3%,1.5%
Mauritius,Colon and rectum cancer,17,0.8%,0.5%
Mauritius,Pulmonary Arterial Hypertension,16,0.8%,0.5%
Mauritius,Non-rheumatic valvular heart disease,13,0.7%,0.4%
Mauritius,Bacterial skin diseases,11,0.6%,0.4%
