Appendix Table S11. All cause probability of death before age 70 by location and sex,,,,,,,,
Location Name,Sex,1990,2000,2010,2019,2023,"Percent Change from 2000 to 2023, 0 to 70",
         Cyprus,Female,18.1%,15.1%,11.6%,10.4%,10.0%,-33.4%,
         Denmark,Female,23.0%,20.7%,15.6%,12.5%,11.9%,-42.2%,
         Finland,Female,17.3%,13.9%,12.1%,10.4%,11.0%,-20.4%,
         France,Female,14.5%,12.9%,11.3%,10.3%,10.5%,-18.1%,
         Germany,Female,19.0%,14.9%,12.8%,12.2%,12.6%,-15.2%,
         Greece,Female,14.9%,12.2%,10.7%,10.4%,11.2%,-8.1%,
         Iceland,Female,16.8%,14.3%,11.4%,10.1%,10.4%,-27.3%,
         Ireland,Female,21.0%,17.2%,12.8%,10.6%,10.7%,-37.7%,
         Israel,Female,17.9%,15.0%,10.8%,9.2%,9.2%,-38.9%,
         Italy,Female,15.7%,12.5%,10.2%,9.2%,9.5%,-24.4%,
         Luxembourg,Female,19.2%,14.9%,12.3%,9.6%,9.2%,-38.2%,
         Malta,Female,18.4%,14.5%,11.3%,9.7%,9.7%,-33.2%,
         Monaco,Female,16.5%,15.1%,13.5%,11.3%,11.8%,-21.6%,
         Netherlands,Female,16.8%,16.0%,13.5%,11.9%,11.6%,-27.8%,
         Norway,Female,16.8%,14.7%,12.5%,9.8%,9.9%,-32.4%,
         Portugal,Female,18.8%,14.9%,11.2%,9.7%,9.9%,-33.9%,
         San Marino,Female,11.8%,11.1%,8.0%,6.9%,7.3%,-34.1%,
         Spain,Female,14.7%,11.5%,9.3%,8.9%,9.4%,-17.9%,
         Sweden,Female,15.8%,13.7%,11.6%,9.9%,9.6%,-30.3%,
         Switzerland,Female,14.7%,12.4%,10.3%,8.7%,7.8%,-37.1%,
         United Kingdom,Female,21.2%,17.0%,13.8%,12.6%,13.4%,-20.8%,
   Latin America and Caribbean,Female,29.1%,25.5%,24.5%,20.6%,20.6%,-19.1%,
      Andean Latin America,Female,28.9%,25.4%,21.1%,19.2%,20.6%,-18.8%,
         Bolivia (Plurinational State of),Female,38.4%,34.1%,31.1%,28.6%,28.0%,-17.8%,
         Ecuador,Female,27.9%,26.9%,20.3%,16.9%,18.1%,-32.9%,
         Peru,Female,26.1%,21.6%,18.1%,17.1%,19.4%,-10.0%,
      Caribbean,Female,34.8%,31.6%,52.5%,28.7%,29.7%,-6.0%,
         Antigua and Barbuda,Female,24.3%,22.3%,18.3%,19.4%,20.3%,-9.0%,
         Barbados,Female,24.4%,22.0%,19.0%,19.8%,20.3%,-7.5%,
